id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,filename,link,image_path
8452,Women,Apparel,Topwear,Tops,Blue,Fall,2011.0,Casual,Jealous 21 Women Jealous Rain Blue Top Blue Tops,8452.jpg,http://assets.myntassets.com/v1/images/style/properties/484bebf56b9c8c5b52f4059b8976d14b_images.jpg,/content/drive/MyDrive/project_ml_uas/images/8452.jpg
9398,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Nike Men Lunarfly Black Sports Shoes,9398.jpg,http://assets.myntassets.com/v1/images/style/properties/b58213c467f4a3243d2a1215201444b3_images.jpg,/content/drive/MyDrive/project_ml_uas/images/9398.jpg
8802,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Scullers Men Scul Purple Blue White Shirt,8802.jpg,http://assets.myntassets.com/v1/images/style/properties/1c114bda99a996e22bc2dd4799d9e764_images.jpg,/content/drive/MyDrive/project_ml_uas/images/8802.jpg
34747,Women,Footwear,Shoes,Casual Shoes,White,Summer,2012.0,Casual,Puma Women Soleil Cat White Shoes,34747.jpg,http://assets.myntassets.com/v1/images/style/properties/d50d4d2713962bc591c816c5306a0d5e_images.jpg,/content/drive/MyDrive/project_ml_uas/images/34747.jpg
53537,Women,Apparel,Innerwear,Briefs,Multi,Winter,2015.0,Casual,Amante Women Pack of 3 Assorted Briefs PFCP12,53537.jpg,http://assets.myntassets.com/v1/images/style/properties/Amante-Women-Pack-of-3-Briefs_2a91813f368f7e7cd061e60cee472729_images.jpg,/content/drive/MyDrive/project_ml_uas/images/53537.jpg
31603,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Mark Taylor Men Printed Green T-shirt,31603.jpg,http://assets.myntassets.com/v1/images/style/properties/df6ea4a431876028ac50515cdd820ff0_images.jpg,/content/drive/MyDrive/project_ml_uas/images/31603.jpg
31172,Girls,Apparel,Topwear,Tops,Peach,Summer,2012.0,Casual,Gini and Jony Girls Peach Top,31172.jpg,http://assets.myntassets.com/v1/images/style/properties/da776219c71ecb6a3ba0c2a39d99689b_images.jpg,/content/drive/MyDrive/project_ml_uas/images/31172.jpg
40517,Men,Accessories,Watches,Watches,Cream,Winter,2016.0,Casual,Titan Men Cream Dial Watch,40517.jpg,http://assets.myntassets.com/v1/images/style/properties/ee08b177d19af204fbf51536bfffa4d9_images.jpg,/content/drive/MyDrive/project_ml_uas/images/40517.jpg
4147,Women,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,Nike Women Glide White Grey Shoe,4147.jpg,http://assets.myntassets.com/v1/images/style/properties/bcb241296d93b8198038571a64f99b97_images.jpg,/content/drive/MyDrive/project_ml_uas/images/4147.jpg
39954,Men,Footwear,Flip Flops,Flip Flops,Blue,Summer,2013.0,Casual,Gas Men Blue Flip Flops,39954.jpg,http://assets.myntassets.com/v1/images/style/properties/Gas-Men-Blue-Flip-Flops_9cc1a33fffa91feb0b027fafe581ea47_images.jpg,/content/drive/MyDrive/project_ml_uas/images/39954.jpg
54716,Women,Apparel,Topwear,Kurtas,Beige,Fall,2012.0,Ethnic,Shree Women Pink and Olive Printed Kurta,54716.jpg,http://assets.myntassets.com/v1/images/style/properties/Shree-Women-Pink-and-Olive-Printed-Kurta_869f45c9b421ebf05b798161ca347633_images.jpg,/content/drive/MyDrive/project_ml_uas/images/54716.jpg
10631,Men,Footwear,Shoes,Casual Shoes,Black,Spring,2013.0,Casual,Carlton London Men CL semi-cas Black Casual Shoes,10631.jpg,http://assets.myntassets.com/v1/images/style/properties/7c57cab171871fc0896acae24ba45b2c_images.jpg,/content/drive/MyDrive/project_ml_uas/images/10631.jpg
47399,Women,Accessories,Bags,Handbags,Green,Fall,2012.0,Casual,Baggit Women Green Bag,47399.jpg,http://assets.myntassets.com/v1/images/style/properties/fff0b8ca40942f2a174cc87226841285_images.jpg,/content/drive/MyDrive/project_ml_uas/images/47399.jpg
39586,Women,Footwear,Shoes,Heels,Red,Winter,2015.0,Casual,Catwalk Women Red Flats,39586.jpg,http://assets.myntassets.com/v1/images/style/properties/1b1ce526820d266e6cfec01b52aa0de5_images.jpg,/content/drive/MyDrive/project_ml_uas/images/39586.jpg
36886,Men,Accessories,Belts,Belts,Black,Summer,2012.0,Casual,Fossil Men Black & Brown Ethan Belt,36886.jpg,http://assets.myntassets.com/v1/images/style/properties/a42823350df1cbb64e38d781a09b9a13_images.jpg,/content/drive/MyDrive/project_ml_uas/images/36886.jpg
30848,Women,Apparel,Topwear,Kurtas,White,Summer,2012.0,Ethnic,Fabindia Women White Printed Kurta,30848.jpg,http://assets.myntassets.com/v1/images/style/properties/Fabindia-Women-White-Printed-Kurta_c9900b81bbbe0e44e2000992577bd005_images.jpg,/content/drive/MyDrive/project_ml_uas/images/30848.jpg
4068,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2011.0,Casual,Crocs Men's Tideline Canvas Khaki Shoe,4068.jpg,http://assets.myntassets.com/v1/images/style/properties/bbe6362edc00f7f82065dd2065c4610f_images.jpg,/content/drive/MyDrive/project_ml_uas/images/4068.jpg
43054,Men,Apparel,Topwear,Tshirts,Green,Summer,2012.0,Casual,Nike Men Green Portugal Football T-shirt,43054.jpg,http://assets.myntassets.com/v1/images/style/properties/a4b28dbb9a494391508b5bb1d371acb9_images.jpg,/content/drive/MyDrive/project_ml_uas/images/43054.jpg
